,habitat,common,scientific
0,marine,"Blue ring angelfish, annularis angelfish",Pomacanthus annularis
1,marine,"Arabian angelfish, Asfur angelfish",Pomacanthus asfur
2,marine,Bellus angelfish,Genicanthus bellus
3,marine,Blue angelfish,Holacanthus bermudensis
4,marine,Bluespotted angelfish,Chaetodontoplus caeruleopunctatus
5,marine,Blueface angelfish,Pomacanthus xanthometopon
6,marine,Cortez angelfish,Pomacanthus zonipectus
7,marine,Emperor angelfish,Pomacanthus imperator
8,marine,French angelfish,Pomacanthus paru
9,marine,Gray angelfish,Pomacanthus arcuatus
10,marine,Griffis angelfish,Apolemichthys griffisi
11,marine,"Half-moon angelfish, Yellow bar angelfish",Pomacanthus maculosus
12,marine,Koran angelfish,Pomacanthus semicirculatus
13,marine,Majestic angelfish or blue girdled angelfish,Pomacanthus navarchus
14,marine,Passer angelfish or King angelfish,Holacanthus passer
15,marine,Personifer angelfish or Queensland yellowtail angelfish,Chaetodontoplus meridithii
16,marine,Queen angelfish,Holacanthus ciliaris
17,marine,Rock beauty,Holacanthus tricolor
18,marine,Royal angelfish,Pygoplites diacanthus
19,marine,Scribbled angelfish,Chaetodontoplus duboulayi
20,marine,Japanese swallow angelfish,Genicanthus semifasciatus
21,marine,Yellowtail angelfish,Apolemichthys xanthurus
22,marine,Barred angelfish,Centropyge multifasciata
23,marine,Bicolor angelfish,Centropyge bicolor
24,marine,Blue Velvet Angelfish,Centropyge deborae
25,marine,Brazilian flameback angelfish,Centropyge aurantonotus
26,marine,Coral beauty angelfish,Centropyge bispinosa
27,marine,Cherubfish or Pygmy angelfish,Centropyge argi
28,marine,Eibli angelfish,Centropyge eibli
29,marine,Flame angelfish,Centropyge loricula
30,marine,Pearlscale angelfish,Centropyge vroliki
31,marine,Herald's angelfish,Centropyge heraldi
32,marine,Keyhole angelfish,Centropyge tibicen
33,marine,Lemonpeel angelfish,Centropyge flavissima
34,marine,Multicolor angelfish,Centropyge multicolor
35,marine,Orange-back angelfish,Centropyge acanthops
36,marine,Pacific pygmy angelfish,Centropyge flavicauda
37,marine,Potter's angelfish,Centropyge potteri
38,marine,Rusty angelfish,Centropyge ferrugata
39,marine,Venustus angelfish,Centropyge venustus
40,marine,Bartlett's anthias,Pseudanthias bartlettorum
41,marine,Bicolor anthias,Pseudanthias bicolor
42,marine,Cooper's anthias,Pseudanthias cooperi
43,marine,Diadem anthias,Pseudanthias parvirostris
44,marine,Orangehead anthias,Pseudanthias heemstrai
45,marine,Redbar anthias,Pseudanthias rubrizonatus
46,marine,"Lyretail anthias, Sea Goldie",Pseudanthias squamipinnis
47,marine,Squareback anthias,Pseudanthias pleurotaenia
48,marine,Stocky anthias,Pseudanthias hypselosoma
49,marine,Threadfin anthias,Pseudanthias huchtii
50,marine,African grouper,Cephalopholis taeniops
51,marine,Vermillion seabass,Cephalopholis miniata
52,marine,Blacktip grouper,Epinephelus fasciatus
53,marine,Blue and Yellow grouper,Epinephelus flavocaeruleus
54,marine,Blue dot grouper,Cephalopholis argus
55,marine,Blue line grouper,Cephalopholis formosa
56,marine,Chalk bass,Serranus tortugarum
57,marine,Coney grouper,Cephalopholis fulva
58,marine,Golden grouper,Mycteroperca rosacea
59,marine,Golden stripe soapfish,Grammistes sexlineatus
60,marine,Harlequin bass,Serranus tigrinus
61,marine,Leaflip grouper,Pogonoperca punctata
62,marine,Marine beta,Calloplesiops altivelis
63,marine,Pacific graysby,Cephalopholis panamensis
64,marine,Panther grouper,Cromileptes altivelis
65,marine,Painted comber,Serranus scriba
66,marine,Polleni grouper,Cephalopholis polleni
67,marine,Red flag grouper,Cephalopholis urodeta
68,marine,Lyretail grouper,Variola louti
69,marine,Saddle grouper,Plectropomus laevis
70,marine,Spotted grouper,Epinephelus summana
71,marine,Strawberry grouper,Cephalopholis spiloparaea
72,marine,V tail grouper,Cephalopholis urodelus
73,marine,Black cap gramma,Gramma melacara
74,marine,Blue assessor,Assessor macneilli
75,marine,Royal gramma,Gramma loreto
76,marine,Brazilian gramma,Gramma brasiliensis
77,marine,Yellow assessor,Assessor flavissimus
78,marine,Orbiculate batfish,Platax orbicularis
79,marine,Dusky batfish,Platax pinnatus
80,marine,Teira batfish,Platax teira
81,marine,Spinyhead blenny,Acanthemblemaria spinosa
82,marine,Bicolor blenny,Ecsenius bicolor
83,marine,Black combtooth blenny,Ecsenius namiyei
84,marine,Blackline fang blenny,Meiacanthus nigrolineatus
85,marine,Black sailfin blenny,Atrosalarias fuscus
86,marine,Blue & gold blenny,Enchelyurus flavipes
87,marine,Bundoon blenny,Meiacanthus bundoon
88,marine,Canary fang blenny,Meiacanthus oualanensis
89,marine,Diamond blenny,Malacoctenus boehlkei
90,marine,Ember blenny,Cirripectes stigmaticus
91,marine,Harptail blenny,Meiacanthus mossambicus
92,marine,Lawnmower blenny,Salarias fasciatus
93,marine,Linear blenny,Ecsenius lineatus
94,marine,Midas blenny,Ecsenius midas
95,marine,Molly Miller blenny,Scartella cristata
96,marine,One spot blenny,Crossosalarias macrospilus
97,marine,Red lip blenny,Ophioblennius atlanticus
98,marine,Red Sea mimic blenny,Ecsenius gravieri
99,marine,Sailfin blenny,Emblemaria pandionis
100,marine,Segmented sailfin blenny,Salarias segmentatus
101,marine,Starry blenny,Salarias ramosus
102,marine,Striped blenny,Meiacanthus grammistes
103,marine,Tail spot blenny,Ecsenius stigmatura
104,marine,Two-spot blenny,Ecsenius bimaculatus
105,marine,Engineer goby,Pholidichthys leucotaenia
106,marine,Golden puffer,Arothron meleagris
107,marine,Hawaiian blue puffer,Canthigaster papua
108,marine,Hawaiian saddle puffer,Canthigaster coronata
109,marine,Hawaiian spotted puffer,Canthigaster jactator
110,marine,Helmet cowfish,Tetrosomus gibbosus
111,marine,Immaculate puffer,Arothron immaculatus
112,marine,Longhorn cowfish,Lactoria cornuta
113,marine,Scribbled boxfish,Ostracion solorensis
114,marine,Dogface pufferfish,Arothron nigropunctatus
115,marine,Map puffer,Arothron mappa
116,marine,Porcupine pufferfish,Diodon holocanthus
117,marine,Spotfin porcupinefish,Diodon hystrix
118,marine,Sharpnose pufferfish,Canthigaster rostrata
119,marine,Star puffer,Arothron stellatus
120,marine,Stars and stripes puffer,Arothron hispidus
121,marine,Striped dogface puffer,Arothron manilensis
122,marine,Valentini pufferfish,Canthigaster valentini
123,marine,Whitebelly puffer,Canthigaster bennetti
124,marine,Yellow boxfish,Ostracion cubicus
125,marine,Copperband butterflyfish,Chelmon rostratus
126,marine,Schooling bannerfish,Heniochus diphreutes
127,marine,Longnose butterflyfish,Forcipiger flavissimus
128,marine,Raccoon butterflyfish,Chaetodon lunula
129,marine,Redback butterflyfish,Chaetodon paucifasciatus
130,marine,Merten's butterflyfish,Chaetodon mertensii
131,marine,Teardrop butterflyfish,Chaetodon unimaculatus
132,marine,Latticed butterflyfish,Chaetodon rafflesii
133,marine,Pacific double saddle butterflyfish,Chaetodon ulietensis
134,marine,Sickle butterflyfish,Chaetodon falcula
135,marine,Threadfin butterflyfish,Chaetodon auriga
136,marine,Tinker's butterflyfish,Chaetodon tinkeri
137,marine,Masked butterflyfish,Chaetodon semilarvatus
138,marine,Reef butterflyfish,Chaetodon sedentarius
139,marine,Four-eyed butterflyfish,Chaetodon capistratus
140,marine,Banded butterflyfish,Chaetodon striatus
